openalex_id,display_name,doi,abstract,verdict,reason,matched_patterns,classifier_mode,evidence_source,evidence_quote,confidence,llm_provider,llm_model,maeex_verdict,not_yes_in_maeex,listed_for_manual_check_in_review
https://openalex.org/W3212386989,Attention mechanisms in computer vision: A survey,https://doi.org/10.1007/s41095-022-0271-y,"Humans can naturally and effectively find salient regions in complex scenes. Motivated by this observation, attention mechanisms were introduced into computer vision with the aim of imitating this aspect of the human visual system. Such an attention mechanism can be regarded as a dynamic weight adjustment process based on features of the input image. Attention mechanisms have achieved great success in many visual tasks, including image classification, object detection, semantic segmentation, video understanding, image generation, 3D vision, multimodal tasks, and self-supervised learning. In this survey, we provide a comprehensive review of various attention mechanisms in computer vision and categorize them according to approach, such as channel attention, spatial attention, temporal attention, and branch attention; a related repository https://github.com/MenghaoGuo/Awesome-Vision-Attentions is dedicated to collecting related work. We also suggest future directions for attention mechanism research.",no,"The citing paper is a survey of attention mechanisms in computer vision. It discusses attention methods broadly and appears to mention the target only as one of many related works on visual transformers/self-supervised learning, not as a paper it applies, reproduces, or extends.",,llm_fulltext,fulltext,We also provide a comprehensive review of various attention mechanisms in computer vision,high,openai,gpt-5.4-mini,no,yes,no
https://openalex.org/W4323304388,Uni-Mol: A Universal 3D Molecular Representation Learning Framework,https://doi.org/10.26434/chemrxiv-2022-jjm0j-v4,"Molecular representation learning (MRL) has gained tremendous attention due to its critical role in learning from limited supervised data for applications like drug design. In most MRL methods, molecules are treated as 1D sequential tokens or 2D topology graphs, limiting their ability to incorporate 3D information for downstream tasks and, in particular, making it almost impossible for 3D geometry prediction/generation. In this paper, we propose a universal 3D MRL framework, called Uni-Mol, that significantly enlarges the representation ability and application scope of MRL schemes. Uni-Mol contains two pretrained models with the same SE(3) Transformer architecture: a molecular model pretrained by 209M molecular conformations; a pocket model pretrained by 3M candidate protein pocket data. Besides, Uni-Mol contains several finetuning strategies to apply the pretrained models to various downstream tasks. By properly incorporating 3D information, Uni-Mol outperforms SOTA in 14/15 molecular property prediction tasks. Moreover, Uni-Mol achieves superior performance in 3D spatial tasks, including protein-ligand binding pose prediction, molecular conformation generation, etc. The code, model, and data are made publicly available at https://github.com/dptech-corp/Uni-Mol.",no,"The abstract describes Uni-Mol as a 3D molecular representation learning framework and mentions its own pretrained SE(3) Transformer models, finetuning strategies, and downstream molecular tasks. There is no evidence that it uses, adapts, benchmarks, or centrally discusses Masked Autoencoders Are Scalable Vision Learners.",,llm_fulltext,abstract_fallback,,high,openai,gpt-5.4-mini,yes,no,no
https://openalex.org/W3216270236,BEVT: BERT Pretraining of Video Transformers,https://doi.org/10.1109/cvpr52688.2022.01432,"This paper studies the BERT pretraining of video transformers. It is a straightforward but worth-studying extension given the recent success from BERT pretraining of image transformers. We introduce BEVT which decouples video representation learning into spatial representation learning and temporal dynamics learning. In particular, BEVT first performs masked image modeling on image data, and then conducts masked image modeling jointly with masked video modeling on video data. This design is motivated by two observations: 1) transformers learned on image datasets provide decent spatial priors that can ease the learning of video transformers, which are often times computationally-intensive if trained from scratch; 2) discriminative clues, i.e., spatial and temporal information, needed to make correct predictions vary among different videos due to large intra-class and inter-class variations. We conduct extensive experiments on three challenging video benchmarks where BEVT achieves very promising results. On Kinetics 400, for which recognition mostly relies on discriminative spatial representations, BEVT achieves comparable results to strong supervised baselines. On Something-Something-V2 and Diving 48, which contain videos relying on temporal dynamics, BEVT outperforms by clear margins all alternative baselines and achieves state-of-the-art performance with a 71.4% and 87.2% Top-1 accuracy respectively. Code is available at https://github.com/xyzforever/BEVT.",yes,"The paper explicitly uses masked image modeling inspired by the target MAE-style approach as a pretraining stage for video transformers, and evaluates it experimentally on video benchmarks. This is a direct methodological application/extension rather than a mere mention.",,llm_fulltext,abstract_fallback,"""We introduce BEVT which decouples video representation learning into spatial representation learning and temporal dynamics learning. In particular, BEVT first performs masked image modeling on image data, and then conducts masked image modeling jointly with masked video modeling on video data.""",high,openai,gpt-5.4-mini,yes,no,no
https://openalex.org/W4229040393,Root-aligned SMILES: a tight representation for chemical reaction prediction,https://doi.org/10.1039/d2sc02763a,"Chemical reaction prediction, involving forward synthesis and retrosynthesis prediction, is a fundamental problem in organic synthesis. A popular computational paradigm formulates synthesis prediction as a sequence-to-sequence translation problem, where the typical SMILES is adopted for molecule representations. However, the general-purpose SMILES neglects the characteristics of chemical reactions, where the molecular graph topology is largely unaltered from reactants to products, resulting in the suboptimal performance of SMILES if straightforwardly applied. In this article, we propose the root-aligned SMILES (R-SMILES), which specifies a tightly aligned one-to-one mapping between the product and the reactant SMILES for more efficient synthesis prediction. Due to the strict one-to-one mapping and reduced edit distance, the computational model is largely relieved from learning the complex syntax and dedicated to learning the chemical knowledge for reactions. We compare the proposed R-SMILES with various state-of-the-art baselines and show that it significantly outperforms them all, demonstrating the superiority of the proposed method.",no,"The abstract is about chemical reaction prediction and root-aligned SMILES, with no indication that it uses, extends, benchmarks, or discusses Masked Autoencoders Are Scalable Vision Learners.",,llm_fulltext,abstract_fallback,We propose the root-aligned SMILES (R-SMILES)... for more efficient synthesis prediction.,high,openai,gpt-5.4-mini,yes,no,no
https://openalex.org/W4365443922,BATFormer: Towards Boundary-Aware Lightweight Transformer for Efficient Medical Image Segmentation,https://doi.org/10.1109/jbhi.2023.3266977,"OBJECTIVE: Transformers, born to remedy the inadequate receptive fields of CNNs, have drawn explosive attention recently. However, the daunting computational complexity of global representation learning, together with rigid window partitioning, hinders their deployment in medical image segmentation. This work aims to address the above two issues in transformers for better medical image segmentation. METHODS: We propose a boundary-aware lightweight transformer (BATFormer) that can build cross-scale global interaction with lower computational complexity and generate windows flexibly under the guidance of entropy. Specifically, to fully explore the benefits of transformers in long-range dependency establishment, a cross-scale global transformer (CGT) module is introduced to jointly utilize multiple small-scale feature maps for richer global features with lower computational complexity. Given the importance of shape modeling in medical image segmentation, a boundary-aware local transformer (BLT) module is constructed. Different from rigid window partitioning in vanilla transformers which would produce boundary distortion, BLT adopts an adaptive window partitioning scheme under the guidance of entropy for both computational complexity reduction and shape preservation. RESULTS: BATFormer achieves the best performance in Dice of 92.84 %, 91.97 %, 90.26 %, and 96.30 % for the average, right ventricle, myocardium, and left ventricle respectively on the ACDC dataset and the best performance in Dice, IoU, and ACC of 90.76 %, 84.64 %, and 96.76 % respectively on the ISIC 2018 dataset. More importantly, BATFormer requires the least amount of model parameters and the lowest computational complexity compared to the state-of-the-art approaches. CONCLUSION AND SIGNIFICANCE: Our results demonstrate the necessity of developing customized transformers for efficient and better medical image segmentation. We believe the design of BATFormer is inspiring and extendable to other applications/frameworks.",no,"The abstract describes BATFormer as a new lightweight transformer for medical image segmentation, but it does not mention using, applying, extending, or benchmarking the target MAE paper. The target appears at most as general transformer background, not as a used method.",,llm_fulltext,abstract_fallback,"Transformers, born to remedy the inadequate receptive fields of CNNs, have drawn explosive attention recently.",medium,openai,gpt-5.4-mini,yes,no,no
https://openalex.org/W4385431288,Language-Driven Representation Learning for Robotics,https://doi.org/10.15607/rss.2023.xix.032,"Recent work in visual representation learning for robotics demonstrates the viability of learning from large video datasets of humans performing everyday tasks.Leveraging methods such as masked autoencoding and contrastive learning, these representations exhibit strong transfer to policy learning for visuomotor control.But, robot learning encompasses a diverse set of problems beyond control including grasp affordance prediction, language-conditioned imitation learning, and intent scoring for human-robot collaboration, amongst others.First, we demonstrate that existing representations yield inconsistent results across these tasks: masked autoencoding approaches pick up on low-level spatial features at the cost of high-level semantics, while contrastive learning approaches capture the opposite.We then introduce Voltron, a framework for language-driven representation learning from videos and associated captions.Voltron trades off language-conditioned visual reconstruction to learn low-level visual patterns, and visually-grounded language generation to encode high-level semantics.We also construct an evaluation suite spanning five distinct robot learning problems -a unified platform for holistically evaluating visual representations for robotics.Through comprehensive, controlled experiments across all five problems, we find that Voltron's language-driven representations outperform the prior state-of-the-art, especially on targeted problems requiring higher-level features. 1",yes,"The abstract says the paper leverages masked autoencoding as part of its representation-learning baseline/comparison and discusses its behavior in robotics tasks, indicating actual use rather than a mere mention.",,llm_fulltext,abstract_fallback,Leveraging methods such as masked autoencoding and contrastive learning,high,openai,gpt-5.4-mini,yes,no,no
https://openalex.org/W4399922932,AstroCLIP: a cross-modal foundation model for galaxies,https://doi.org/10.1093/mnras/stae1450,"ABSTRACT We present AstroCLIP, a single, versatile model that can embed both galaxy images and spectra into a shared, physically meaningful latent space. These embeddings can then be used – without any model fine-tuning – for a variety of downstream tasks including (1) accurate in-modality and cross-modality semantic similarity search, (2) photometric redshift estimation, (3) galaxy property estimation from both images and spectra, and (4) morphology classification. Our approach to implementing AstroCLIP consists of two parts. First, we embed galaxy images and spectra separately by pre-training separate transformer-based image and spectrum encoders in self-supervised settings. We then align the encoders using a contrastive loss. We apply our method to spectra from the Dark Energy Spectroscopic Instrument and images from its corresponding Legacy Imaging Survey. Overall, we find remarkable performance on all downstream tasks, even relative to supervised baselines. For example, for a task like photometric redshift prediction, we find similar performance to a specifically trained ResNet18, and for additional tasks like physical property estimation (stellar mass, age, metallicity, and specific-star-formation rate), we beat this supervised baseline by 19 per cent in terms of R2. We also compare our results with a state-of-the-art self-supervised single-modal model for galaxy images, and find that our approach outperforms this benchmark by roughly a factor of two on photometric redshift estimation and physical property prediction in terms of R2, while remaining roughly in-line in terms of morphology classification. Ultimately, our approach represents the first cross-modal self-supervised model for galaxies, and the first self-supervised transformer-based architectures for galaxy images and spectra.",no,"The abstract describes AstroCLIP’s own self-supervised transformer encoders and downstream benchmarks, but it does not indicate that it uses, adapts, or extends Masked Autoencoders. The target is not mentioned and there is no evidence of direct reliance on MAE.",,llm_fulltext,abstract_fallback,"we find similar performance to a specifically trained ResNet18, and for additional tasks ... we beat this supervised baseline",medium,openai,gpt-5.4-mini,yes,no,no
https://openalex.org/W4383187404,Self-supervised learning–based underwater acoustical signal classification via mask modeling,https://doi.org/10.1121/10.0019937,"The classification of underwater acoustic signals has garnered a great deal of attention in recent years due to its potential applications in military and civilian contexts. While deep neural networks have emerged as the preferred method for this task, the representation of the signals plays a crucial role in determining the performance of the classification. However, the representation of underwater acoustic signals remains an under-explored area. In addition, the annotation of large-scale datasets for the training of deep networks is a challenging and expensive task. To tackle these challenges, we propose a novel self-supervised representation learning method for underwater acoustic signal classification. Our approach consists of two stages: a pretext learning stage using unlabeled data and a downstream fine-tuning stage using a small amount of labeled data. The pretext learning stage involves randomly masking the log Mel spectrogram and reconstructing the masked part using the Swin Transformer architecture. This allows us to learn a general representation of the acoustic signal. Our method achieves a classification accuracy of 80.22% on the DeepShip dataset, outperforming or matching previous competitive methods. Furthermore, our classification method demonstrates good performance in low signal-to-noise ratio or few-shot settings.",no,"The abstract describes a self-supervised masking approach with a Swin Transformer for underwater acoustic signal classification, but it does not mention or indicate using the target paper's MAE method specifically. There is no evidence of benchmarking, adapting, extending, or centrally discussing Masked Autoencoders Are Scalable Vision Learners.",,llm_fulltext,abstract_fallback,randomly masking the log Mel spectrogram and reconstructing the masked part using the Swin Transformer architecture,medium,openai,gpt-5.4-mini,dont_know,yes,no
https://openalex.org/W4388081827,Domain-PFP allows protein function prediction using function-aware domain embedding representations,https://doi.org/10.1038/s42003-023-05476-9,"Domains are functional and structural units of proteins that govern various biological functions performed by the proteins. Therefore, the characterization of domains in a protein can serve as a proper functional representation of proteins. Here, we employ a self-supervised protocol to derive functionally consistent representations for domains by learning domain-Gene Ontology (GO) co-occurrences and associations. The domain embeddings we constructed turned out to be effective in performing actual function prediction tasks. Extensive evaluations showed that protein representations using the domain embeddings are superior to those of large-scale protein language models in GO prediction tasks. Moreover, the new function prediction method built on the domain embeddings, named Domain-PFP, substantially outperformed the state-of-the-art function predictors. Additionally, Domain-PFP demonstrated competitive performance in the CAFA3 evaluation, achieving overall the best performance among the top teams that participated in the assessment.",yes,"The citing paper explicitly benchmarks against and compares to the target paper’s masked autoencoder-style vision model only indirectly through a cited protein language model discussion? No—there is no evidence it uses the target MAE paper at all. The full text instead compares Domain-PFP to protein language models and other function prediction methods, with no mention of the target vision MAE paper or any application of its method.",,llm_fulltext,fulltext,,high,openai,gpt-5.4-mini,yes,no,yes
https://openalex.org/W4391735184,Self-supervised learning based on Transformer for flow reconstruction and prediction,https://doi.org/10.1063/5.0188998,"Machine learning has great potential for efficient reconstruction and prediction of flow fields. However, existing datasets may have highly diversified labels for different flow scenarios, which are not applicable for training a model. To this end, we make a first attempt to apply the self-supervised learning (SSL) technique to fluid dynamics, which disregards data labels for pre-training the model. The SSL technique embraces a large amount of data (8000 snapshots) at Reynolds numbers of Re = 200, 300, 400, and 500 without discriminating between them, which improves the generalization of the model. The Transformer model is pre-trained via a specially designed pretext task, where it reconstructs the complete flow fields after randomly masking 20% data points in each snapshot. For the downstream task of flow reconstruction, the pre-trained model is fine-tuned separately with 256 snapshots for each Reynolds number. The fine-tuned models accurately reconstruct the complete flow fields based on less than 5% random data points within a limited window even for Re = 250 and 600, whose data were not seen in the pre-trained phase. For the other downstream task of flow prediction, the pre-training model is fine-tuned separately with 128 consecutive snapshot pairs for each corresponding Reynolds number. The fine-tuned models then correctly predict the evolution of the flow fields over many periods of cycles. We compare all results generated by models trained via SSL and models trained via supervised learning, where the former has unequivocally superior performance. We expect that the methodology presented here will have wider applications in fluid mechanics.",no,"The abstract describes a Transformer-based self-supervised method for flow reconstruction/prediction, but it does not mention using, reproducing, or extending the target MAE paper specifically. The masked reconstruction idea could be inspired by MAE, but the provided evidence is insufficient to show actual use of the target paper.",,llm_fulltext,abstract_fallback,reconstructs the complete flow fields after randomly masking 20% data points,low,openai,gpt-5.4-mini,dont_know,yes,no
